start_time,finish_time,emotion_level,,,
6:01,6:05,2,,,0:04
6:02,6:06,2,,,0:04
6:03,6:07,2,,,0:04
6:04,6:08,2,,,0:04
6:05,6:09,2,,,0:04
6:06,6:10,2,,,0:04
6:07,6:11,2,,,0:04
6:08,6:12,2,,,0:04
6:09,6:13,2,,,0:04
6:10,6:14,2,,,0:04
6:11,6:15,2,,,0:04
6:12,6:16,2,,,0:04
6:13,6:17,2,,,0:04
6:14,6:18,2,,,0:04
6:15,6:19,2,,,0:04
6:16,6:20,2,,,0:04
6:17,6:21,2,,,0:04
6:18,6:22,2,,,0:04
6:19,6:23,2,,,0:04
6:20,6:24,2,,,0:04
6:21,6:25,2,,,0:04
6:22,6:26,2,,,0:04
6:23,6:27,2,,,0:04
6:24,6:28,2,,,0:04
6:25,6:29,2,,,0:04
6:26,6:30,2,,,0:04
6:27,6:31,2,,,0:04
6:28,6:32,2,,,0:04
6:29,6:33,2,,,0:04
6:30,6:34,2,,,0:04
6:31,6:35,2,,,0:04
6:32,6:36,2,,,0:04
6:33,6:37,2,,,0:04
6:34,6:38,2,,,0:04
6:35,6:39,2,,,0:04
6:36,6:40,2,,,0:04
6:37,6:41,2,,,0:04
6:38,6:42,2,,,0:04
6:39,6:43,2,,,0:04
6:40,6:44,2,,,0:04
6:41,6:45,2,,,0:04
6:42,6:46,2,,,0:04
6:43,6:47,2,,,0:04
6:44,6:48,2,,,0:04
6:45,6:49,2,,,0:04
6:46,6:50,2,,,0:04
6:47,6:51,2,,,0:04
6:48,6:52,2,,,0:04
6:49,6:53,2,,,0:04
6:50,6:54,2,,,0:04
6:51,6:55,2,,,0:04
6:52,6:56,2,,,0:04
6:53,6:57,2,,,0:04
6:54,6:58,2,,,0:04
6:55,6:59,2,,,0:04
6:56,7:00,2,,,0:04
6:57,7:01,2,,,0:04
6:58,7:02,2,,,0:04
6:59,7:03,2,,,0:04
7:00,7:04,2,,,0:04
7:01,7:05,2,,,0:04
7:10,7:14,3,,,0:04
7:11,7:15,3,,,0:04
7:12,7:16,3,,,0:04
7:13,7:17,3,,,0:04
7:14,7:18,3,,,0:04
7:15,7:19,3,,,0:04
7:16,7:20,3,,,0:04
7:17,7:21,3,,,0:04
7:18,7:22,3,,,0:04
7:19,7:23,3,,,0:04
7:20,7:24,3,,,0:04
7:21,7:25,3,,,0:04
7:22,7:26,3,,,0:04
7:23,7:27,3,,,0:04
7:24,7:28,3,,,0:04
7:25,7:29,3,,,0:04
7:26,7:30,3,,,0:04
7:27,7:31,3,,,0:04
7:28,7:32,3,,,0:04
7:29,7:33,3,,,0:04
7:30,7:34,3,,,0:04
7:31,7:35,3,,,0:04
7:32,7:36,3,,,0:04
7:33,7:37,3,,,0:04
7:34,7:38,3,,,0:04
7:35,7:39,3,,,0:04
7:36,7:40,3,,,0:04
7:37,7:41,3,,,0:04
7:38,7:42,3,,,0:04
7:39,7:43,3,,,0:04
7:40,7:44,3,,,0:04
7:41,7:45,3,,,0:04
7:42,7:46,3,,,0:04
7:43,7:47,3,,,0:04
7:44,7:48,3,,,0:04
7:45,7:49,3,,,0:04
7:46,7:50,3,,,0:04
7:47,7:51,3,,,0:04
7:48,7:52,3,,,0:04
7:49,7:53,3,,,0:04
7:50,7:54,3,,,0:04
7:51,7:55,3,,,0:04
7:52,7:56,3,,,0:04
7:53,7:57,3,,,0:04
7:54,7:58,3,,,0:04
7:55,7:59,3,,,0:04
7:56,8:00,3,,,0:04
7:57,8:01,3,,,0:04
7:58,8:02,3,,,0:04
7:59,8:03,3,,,0:04
8:00,8:04,3,,,0:04
8:01,8:05,3,,,0:04
8:02,8:06,3,,,0:04
8:03,8:07,3,,,0:04
8:04,8:08,3,,,0:04
8:05,8:09,3,,,0:04
8:06,8:10,3,,,0:04
8:07,8:11,3,,,0:04
8:16,8:20,2,,,0:04
8:17,8:21,2,,,0:04
8:18,8:22,2,,,0:04
8:19,8:23,2,,,0:04
8:20,8:24,2,,,0:04
8:21,8:25,2,,,0:04
8:22,8:26,2,,,0:04
8:23,8:27,2,,,0:04
8:24,8:28,2,,,0:04
8:25,8:29,2,,,0:04
8:26,8:30,2,,,0:04
8:27,8:31,2,,,0:04
8:28,8:32,2,,,0:04
8:29,8:33,2,,,0:04
8:30,8:34,2,,,0:04
8:31,8:35,2,,,0:04
8:32,8:36,2,,,0:04
8:33,8:37,2,,,0:04
8:34,8:38,2,,,0:04
8:35,8:39,2,,,0:04
8:36,8:40,2,,,0:04
8:37,8:41,2,,,0:04
8:38,8:42,2,,,0:04
8:39,8:43,2,,,0:04
8:40,8:44,2,,,0:04
8:41,8:45,2,,,0:04
8:42,8:46,2,,,0:04
8:43,8:47,2,,,0:04
8:44,8:48,2,,,0:04
8:45,8:49,2,,,0:04
8:46,8:50,2,,,0:04
8:47,8:51,2,,,0:04
8:48,8:52,2,,,0:04
8:49,8:53,2,,,0:04
8:50,8:54,2,,,0:04
8:51,8:55,2,,,0:04
8:52,8:56,2,,,0:04
8:53,8:57,2,,,0:04
8:54,8:58,2,,,0:04
8:55,8:59,2,,,0:04
8:56,9:00,2,,,0:04
8:57,9:01,2,,,0:04
8:58,9:02,2,,,0:04
8:59,9:03,2,,,0:04
9:00,9:04,2,,,0:04
9:01,9:05,2,,,0:04
9:02,9:06,2,,,0:04
9:03,9:07,2,,,0:04
9:04,9:08,2,,,0:04
9:05,9:09,2,,,0:04
9:06,9:10,2,,,0:04
9:07,9:11,2,,,0:04
9:08,9:12,2,,,0:04
9:09,9:13,2,,,0:04
9:10,9:14,2,,,0:04
9:11,9:15,2,,,0:04
9:12,9:16,2,,,0:04
9:13,9:17,2,,,0:04
9:14,9:18,2,,,0:04
9:15,9:19,2,,,0:04
9:16,9:20,2,,,0:04
9:17,9:21,2,,,0:04
9:18,9:22,2,,,0:04
9:19,9:23,2,,,0:04
9:20,9:24,2,,,0:04
9:21,9:25,2,,,0:04
9:22,9:26,2,,,0:04
9:23,9:27,2,,,0:04
9:24,9:28,2,,,0:04
9:25,9:29,2,,,0:04
9:26,9:30,2,,,0:04
9:27,9:31,2,,,0:04
9:28,9:32,2,,,0:04
9:29,9:33,2,,,0:04
9:30,9:34,2,,,0:04
9:31,9:35,2,,,0:04
9:32,9:36,2,,,0:04
9:33,9:37,2,,,0:04
9:34,9:38,2,,,0:04
9:35,9:39,2,,,0:04
9:36,9:40,2,,,0:04
9:37,9:41,2,,,0:04
9:38,9:42,2,,,0:04
9:39,9:43,2,,,0:04
9:40,9:44,2,,,0:04
9:41,9:45,2,,,0:04
9:42,9:46,2,,,0:04
9:43,9:47,2,,,0:04
9:44,9:48,2,,,0:04
9:45,9:49,2,,,0:04
9:46,9:50,2,,,0:04
9:47,9:51,2,,,0:04
9:48,9:52,2,,,0:04
9:49,9:53,2,,,0:04
9:50,9:54,2,,,0:04
9:51,9:55,2,,,0:04
9:52,9:56,2,,,0:04
9:53,9:57,2,,,0:04
9:54,9:58,2,,,0:04
9:55,9:59,2,,,0:04
9:56,10:00,2,,,0:04
9:57,10:01,2,,,0:04
9:58,10:02,2,,,0:04
9:59,10:03,2,,,0:04
10:00,10:04,2,,,0:04
10:01,10:05,2,,,0:04
10:02,10:06,2,,,0:04
10:03,10:07,2,,,0:04
10:04,10:08,2,,,0:04
10:05,10:09,2,,,0:04
10:06,10:10,2,,,0:04
10:07,10:11,2,,,0:04
10:08,10:12,2,,,0:04
10:09,10:13,2,,,0:04
10:10,10:14,2,,,0:04
10:11,10:15,2,,,0:04
10:12,10:16,2,,,0:04
10:13,10:17,2,,,0:04
10:14,10:18,2,,,0:04
10:15,10:19,2,,,0:04
10:16,10:20,2,,,0:04
10:17,10:21,2,,,0:04
10:18,10:22,2,,,0:04
10:19,10:23,2,,,0:04
10:20,10:24,2,,,0:04
10:21,10:25,2,,,0:04
10:22,10:26,2,,,0:04
10:23,10:27,2,,,0:04
10:24,10:28,2,,,0:04
10:25,10:29,2,,,0:04
10:26,10:30,2,,,0:04
10:27,10:31,2,,,0:04
10:28,10:32,2,,,0:04
10:29,10:33,2,,,0:04
10:30,10:34,2,,,0:04
10:31,10:35,2,,,0:04
10:32,10:36,2,,,0:04
10:33,10:37,2,,,0:04
10:34,10:38,2,,,0:04
10:51,10:55,1,,,0:04
10:52,10:56,1,,,0:04
10:53,10:57,1,,,0:04
10:54,10:58,1,,,0:04
10:55,10:59,1,,,0:04
10:56,11:00,1,,,0:04
10:57,11:01,1,,,0:04
10:58,11:02,1,,,0:04
10:59,11:03,1,,,0:04
11:00,11:04,1,,,0:04
11:01,11:05,1,,,0:04
11:02,11:06,1,,,0:04
11:03,11:07,1,,,0:04
11:04,11:08,1,,,0:04
11:05,11:09,1,,,0:04
11:06,11:10,1,,,0:04
11:07,11:11,1,,,0:04
11:08,11:12,1,,,0:04
11:09,11:13,1,,,0:04
11:10,11:14,1,,,0:04
11:11,11:15,1,,,0:04
11:12,11:16,1,,,0:04
11:13,11:17,1,,,0:04
11:14,11:18,1,,,0:04
11:15,11:19,1,,,0:04
11:16,11:20,1,,,0:04
11:17,11:21,1,,,0:04
11:18,11:22,1,,,0:04
11:19,11:23,1,,,0:04
11:20,11:24,1,,,0:04
11:21,11:25,1,,,0:04
11:32,11:36,4,,,0:04
11:33,11:37,4,,,0:04
11:34,11:38,4,,,0:04
11:35,11:39,4,,,0:04
11:36,11:40,4,,,0:04
11:37,11:41,4,,,0:04
11:38,11:42,4,,,0:04
11:39,11:43,4,,,0:04
11:40,11:44,4,,,0:04
11:41,11:45,4,,,0:04
11:42,11:46,4,,,0:04
11:43,11:47,4,,,0:04
11:44,11:48,4,,,0:04
11:45,11:49,4,,,0:04
11:46,11:50,4,,,0:04
11:47,11:51,4,,,0:04
11:48,11:52,4,,,0:04
11:49,11:53,4,,,0:04
11:50,11:54,4,,,0:04
11:51,11:55,4,,,0:04
11:52,11:56,4,,,0:04
11:53,11:57,4,,,0:04
11:54,11:58,4,,,0:04
11:55,11:59,4,,,0:04
11:56,12:00,4,,,0:04
11:57,12:01,4,,,0:04
11:58,12:02,4,,,0:04
12:16,12:20,3,,,0:04
12:17,12:21,3,,,0:04
12:18,12:22,3,,,0:04
12:19,12:23,3,,,0:04
12:20,12:24,3,,,0:04
12:21,12:25,3,,,0:04
12:22,12:26,3,,,0:04
12:23,12:27,3,,,0:04
12:24,12:28,3,,,0:04
12:25,12:29,3,,,0:04
12:26,12:30,3,,,0:04
12:27,12:31,3,,,0:04
12:28,12:32,3,,,0:04
12:29,12:33,3,,,0:04
12:30,12:34,3,,,0:04
12:31,12:35,3,,,0:04
12:32,12:36,3,,,0:04
12:33,12:37,3,,,0:04
12:40,12:44,2,,,0:04
12:41,12:45,2,,,0:04
12:42,12:46,2,,,0:04
12:43,12:47,2,,,0:04
12:44,12:48,2,,,0:04
12:45,12:49,2,,,0:04
12:46,12:50,2,,,0:04
12:47,12:51,2,,,0:04
12:48,12:52,2,,,0:04
12:49,12:53,2,,,0:04
12:50,12:54,2,,,0:04
12:51,12:55,2,,,0:04
12:52,12:56,2,,,0:04
12:53,12:57,2,,,0:04
12:54,12:58,2,,,0:04
12:55,12:59,2,,,0:04
12:56,13:00,2,,,0:04
12:57,13:01,2,,,0:04
12:58,13:02,2,,,0:04
12:59,13:03,2,,,0:04
13:00,13:04,2,,,0:04
13:01,13:05,2,,,0:04
13:02,13:06,2,,,0:04
13:03,13:07,2,,,0:04
13:04,13:08,2,,,0:04
13:05,13:09,2,,,0:04
13:14,13:18,4,,,0:04
13:15,13:19,4,,,0:04
13:16,13:20,4,,,0:04
13:17,13:21,4,,,0:04
13:18,13:22,4,,,0:04
13:19,13:23,4,,,0:04
13:20,13:24,4,,,0:04
13:21,13:25,4,,,0:04
13:22,13:26,4,,,0:04
13:23,13:27,4,,,0:04
13:24,13:28,4,,,0:04
13:25,13:29,4,,,0:04
13:26,13:30,4,,,0:04
13:27,13:31,4,,,0:04
13:28,13:32,4,,,0:04
13:29,13:33,4,,,0:04
13:30,13:34,4,,,0:04
13:31,13:35,4,,,0:04
13:41,13:45,3,,,0:04
13:42,13:46,3,,,0:04
13:43,13:47,3,,,0:04
13:44,13:48,3,,,0:04
13:45,13:49,3,,,0:04
13:46,13:50,3,,,0:04
13:47,13:51,3,,,0:04
13:48,13:52,3,,,0:04
13:49,13:53,3,,,0:04
13:50,13:54,3,,,0:04
13:51,13:55,3,,,0:04
13:52,13:56,3,,,0:04
13:53,13:57,3,,,0:04
13:54,13:58,3,,,0:04
13:55,13:59,3,,,0:04
13:56,14:00,3,,,0:04
13:57,14:01,3,,,0:04
13:58,14:02,3,,,0:04
13:59,14:03,3,,,0:04
14:00,14:04,3,,,0:04
14:01,14:05,3,,,0:04
14:02,14:06,3,,,0:04
14:03,14:07,3,,,0:04
14:04,14:08,3,,,0:04
14:05,14:09,3,,,0:04
14:06,14:10,3,,,0:04
14:07,14:11,3,,,0:04
14:08,14:12,3,,,0:04
14:09,14:13,3,,,0:04
14:10,14:14,3,,,0:04
14:11,14:15,3,,,0:04
14:12,14:16,3,,,0:04
14:13,14:17,3,,,0:04
14:14,14:18,3,,,0:04
14:15,14:19,3,,,0:04
14:16,14:20,3,,,0:04
14:17,14:21,3,,,0:04
14:18,14:22,3,,,0:04
14:19,14:23,3,,,0:04
14:20,14:24,3,,,0:04
14:21,14:25,3,,,0:04
14:22,14:26,3,,,0:04
14:23,14:27,3,,,0:04
14:24,14:28,3,,,0:04
14:25,14:29,3,,,0:04
14:26,14:30,3,,,0:04
14:27,14:31,3,,,0:04
14:28,14:32,3,,,0:04
14:29,14:33,3,,,0:04
14:30,14:34,3,,,0:04
14:31,14:35,3,,,0:04
14:32,14:36,3,,,0:04
14:33,14:37,3,,,0:04
14:34,14:38,3,,,0:04
14:35,14:39,3,,,0:04
14:36,14:40,3,,,0:04
14:37,14:41,3,,,0:04
14:38,14:42,3,,,0:04
14:39,14:43,3,,,0:04
14:40,14:44,3,,,0:04
14:41,14:45,3,,,0:04
14:42,14:46,3,,,0:04
14:43,14:47,3,,,0:04
14:44,14:48,3,,,0:04
14:45,14:49,3,,,0:04
14:46,14:50,3,,,0:04
14:47,14:51,3,,,0:04
14:48,14:52,3,,,0:04
14:49,14:53,3,,,0:04
14:50,14:54,3,,,0:04
14:51,14:55,3,,,0:04
14:52,14:56,3,,,0:04
14:53,14:57,3,,,0:04
15:03,15:07,-1,,,0:04
15:04,15:08,-1,,,0:04
15:05,15:09,-1,,,0:04
15:06,15:10,-1,,,0:04
15:07,15:11,-1,,,0:04
15:08,15:12,-1,,,0:04
15:09,15:13,-1,,,0:04
15:10,15:14,-1,,,0:04
15:11,15:15,-1,,,0:04
15:12,15:16,-1,,,0:04
15:13,15:17,-1,,,0:04
15:14,15:18,-1,,,0:04
15:15,15:19,-1,,,0:04
15:16,15:20,-1,,,0:04
15:17,15:21,-1,,,0:04
15:18,15:22,-1,,,0:04
15:19,15:23,-1,,,0:04
15:20,15:24,-1,,,0:04
15:21,15:25,-1,,,0:04
15:22,15:26,-1,,,0:04
15:31,15:35,2,,,0:04
15:32,15:36,2,,,0:04
15:33,15:37,2,,,0:04
15:34,15:38,2,,,0:04
15:35,15:39,2,,,0:04
15:36,15:40,2,,,0:04
15:37,15:41,2,,,0:04
15:38,15:42,2,,,0:04
15:39,15:43,2,,,0:04
15:40,15:44,2,,,0:04
15:41,15:45,2,,,0:04
15:42,15:46,2,,,0:04
15:43,15:47,2,,,0:04
15:44,15:48,2,,,0:04
15:45,15:49,2,,,0:04
15:46,15:50,2,,,0:04
15:47,15:51,2,,,0:04
15:48,15:52,2,,,0:04
15:49,15:53,2,,,0:04
15:50,15:54,2,,,0:04
15:51,15:55,2,,,0:04
15:52,15:56,2,,,0:04
15:53,15:57,2,,,0:04
15:54,15:58,2,,,0:04
15:55,15:59,2,,,0:04
15:56,16:00,2,,,0:04
15:57,16:01,2,,,0:04
15:58,16:02,2,,,0:04
15:59,16:03,2,,,0:04
16:00,16:04,2,,,0:04
16:01,16:05,2,,,0:04
16:02,16:06,2,,,0:04
16:03,16:07,2,,,0:04
16:04,16:08,2,,,0:04
16:05,16:09,2,,,0:04
16:06,16:10,2,,,0:04
16:07,16:11,2,,,0:04
16:08,16:12,2,,,0:04
16:09,16:13,2,,,0:04
16:10,16:14,2,,,0:04
16:11,16:15,2,,,0:04
16:12,16:16,2,,,0:04
16:13,16:17,2,,,0:04
16:14,16:18,2,,,0:04
16:15,16:19,2,,,0:04
16:16,16:20,2,,,0:04
16:17,16:21,2,,,0:04
16:18,16:22,2,,,0:04
16:19,16:23,2,,,0:04
16:20,16:24,2,,,0:04
16:21,16:25,2,,,0:04
16:22,16:26,2,,,0:04
16:23,16:27,2,,,0:04
16:24,16:28,2,,,0:04
16:25,16:29,2,,,0:04
16:26,16:30,2,,,0:04
16:27,16:31,2,,,0:04
16:28,16:32,2,,,0:04
16:29,16:33,2,,,0:04
16:30,16:34,2,,,0:04
16:37,16:41,3,,,0:04
16:38,16:42,3,,,0:04
16:39,16:43,3,,,0:04
16:40,16:44,3,,,0:04
16:41,16:45,3,,,0:04
16:42,16:46,3,,,0:04
16:43,16:47,3,,,0:04
16:44,16:48,3,,,0:04
16:45,16:49,3,,,0:04
16:46,16:50,3,,,0:04
16:47,16:51,3,,,0:04
16:48,16:52,3,,,0:04
16:49,16:53,3,,,0:04
16:50,16:54,3,,,0:04
16:51,16:55,3,,,0:04
16:52,16:56,3,,,0:04
16:53,16:57,3,,,0:04
16:54,16:58,3,,,0:04
16:55,16:59,3,,,0:04
16:56,17:00,3,,,0:04
16:57,17:01,3,,,0:04
17:08,17:12,2,,,0:04
17:09,17:13,2,,,0:04
17:10,17:14,2,,,0:04
17:11,17:15,2,,,0:04
17:12,17:16,2,,,0:04
17:13,17:17,2,,,0:04
17:14,17:18,2,,,0:04
17:15,17:19,2,,,0:04
17:16,17:20,2,,,0:04
17:17,17:21,2,,,0:04
17:18,17:22,2,,,0:04
17:25,17:29,4,,,0:04
17:26,17:30,4,,,0:04
17:27,17:31,4,,,0:04
17:28,17:32,4,,,0:04
17:29,17:33,4,,,0:04
17:30,17:34,4,,,0:04
17:31,17:35,4,,,0:04
17:32,17:36,4,,,0:04
17:33,17:37,4,,,0:04
17:34,17:38,4,,,0:04
17:35,17:39,4,,,0:04
17:36,17:40,4,,,0:04
17:37,17:41,4,,,0:04
17:48,17:52,1,,,0:04
17:49,17:53,1,,,0:04
17:50,17:54,1,,,0:04
17:51,17:55,1,,,0:04
17:52,17:56,1,,,0:04
17:53,17:57,1,,,0:04
17:54,17:58,1,,,0:04
17:55,17:59,1,,,0:04
17:56,18:00,1,,,0:04
17:57,18:01,1,,,0:04
17:58,18:02,1,,,0:04
17:59,18:03,1,,,0:04
18:00,18:04,1,,,0:04
18:01,18:05,1,,,0:04
18:02,18:06,1,,,0:04
18:03,18:07,1,,,0:04
18:04,18:08,1,,,0:04
18:05,18:09,1,,,0:04
18:06,18:10,1,,,0:04
18:07,18:11,1,,,0:04
18:08,18:12,1,,,0:04
